year,staff_wage_mean,shanghai_GDP
1978,672,272.81
1979,784,286.43
1980,873,311.89
1981,870,324.76
1982,883,337.07
1983,897,351.81
1984,1110,390.85
1985,1416,466.75
1986,1689,490.83
1987,1893,545.46
1988,2277,648.3
1989,2608,696.54
1990,2917,781.66
1991,3375,893.77
1992,4273,1114.32
1993,5650,1519.23
1994,7401,1990.86
1995,9279,2499.43
1996,10663,2957.55
1997,11425,3438.79
1998,12059,3801.09
1999,14147,4188.73
2000,15420,4771.17
2001,17764,5210.12
2002,19473,5741.03
2003,22160,6694.23
2004,24398,8072.83
2005,26823,9247.66
2006,29569,10572.24
2007,34707,12494.01
2008,39502,14069.87
2009,42789,15046.45
2010,46757,17165.98
2011,51968,19195.69
2012,56300,20181.72
2013,60435,21818.15
2014,65417,23567.7
2015,71268,25123.45
